"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
72048_S_1046304,0,0,0,0,0,1,0,20240521,20240621
72048_U_1047168,1,1,1,1,1,0,0,20240521,20240621
70626_D_1046853,0,0,0,0,0,0,1,20240521,20240621
70626_S_1046305,0,0,0,0,0,1,0,20240521,20240621
70626_U_1047169,1,1,1,1,1,0,0,20240521,20240621
70627_D_1046884,0,0,0,0,0,0,1,20240521,20240621
70627_S_1046306,0,0,0,0,0,1,0,20240521,20240621
70627_U_1047170,1,1,1,1,1,0,0,20240521,20240621
77162_D_1047079,0,0,0,0,0,0,1,20240521,20240621
77162_S_1046307,0,0,0,0,0,1,0,20240521,20240621
77162_U_1047171,1,1,1,1,1,0,0,20240521,20240621
70630_D_1046886,0,0,0,0,0,0,1,20240521,20240621
70630_S_1046308,0,0,0,0,0,1,0,20240521,20240621
70630_U_1047172,1,1,1,1,1,0,0,20240521,20240621
70631_D_1046918,0,0,0,0,0,0,1,20240521,20240621
70631_S_1046309,0,0,0,0,0,1,0,20240521,20240621
70631_U_1047173,1,1,1,1,1,0,0,20240521,20240621
72049_D_1046919,0,0,0,0,0,0,1,20240521,20240621
72049_S_1046310,0,0,0,0,0,1,0,20240521,20240621
72049_U_1047174,1,1,1,1,1,0,0,20240521,20240621
78528_U_1047143,1,1,1,1,1,0,0,20240521,20240621
